"Id Empenho";"Código Empenho";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código SubElemento de Despesa";"SubElemento de Despesa";"Descrição";"Quantidade";"Valor Unitário";"Valor Total"
"144003787";"152005000012020NE800030";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"40";"SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNI";"07";"MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO";"MANUTENCAO / INSTALACAO / DESENVOLVIMENTO SOFTWARE                            000022128                                                                     Prestação de serviços especializados em suporte técnico e manutenção continuada, com garantia de funcionamento do software de gestão ASI, contemplando os serviços no módulos de Almoxarifado e  Patrimônio Mobiliário, fundamentados na legislação geral aplicável à Administração Pública, englobando atualizações de versões com novas funcionalidades, fornecimento de serviço de Helpdesk, suporte técnico e garantia de funcionamento, por um período de 12 meses.";"1,00000";"31000,00000";"31000,00000"
"144103724";"170182000012020NE800009";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"44";"SERVICOS DE AGUA E ESGOTO";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO                             000022845                                                                     Serviço de fornecimento de água e coleta de esgoto para a IRF/CHUÍ.";"1,00000";"1,00000";"1,00000"
"144103913";"170179000012020NE800004";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"58";"SERVICOS DE TELECOMUNICACOES";"CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3)                       000026140                                                                     Chamadas Nacionais Fixo-Movel - STFC-LDN-FM (VC2 e VC3) - STFC   Modalidade de Longa Distância Nacional - para chamadas realizadas através do Serviço Telefônico Fixo Comutado com origem nos municípios de Carazinho/RS, Erechim/RS e Lagoa Vermelha/RS e Passo Fundo/RS e destino dentro da área geográfica do território brasileiro. Os quantitativos por localidade ou área de destino deverão respeitar as informações constantes do edital e Anexo III.";"800,00000";"0,00000";"0,00000"
"144103913";"170179000012020NE800004";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"58";"SERVICOS DE TELECOMUNICACOES";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)                      000026131                                                                     Chamadas Nacionais Fixo-Fixo STFC-LDN-FF (Degraus 1 a 4) - STFC   Modalidade de Longa Distância Nacional - para chamadas realizadas através do Serviço Telefônico Fixo Comutado com origem nos municípios de Carazinho/RS, Erechim/RS e Lagoa Vermelha/RS e Passo Fundo/RS e destino dentro da área geográfica do território brasileiro, além de ligações internacionais. Os quantitativos por localidade ou área de destino deverão respeitar as informações constantes do edital e";"36350,00000";"0,00000";"0,00000"
"144104063";"257035000012020NE800031";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"83";"SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS";"PRESTACAO DE SERVICO DE REPROGRAFIA ENVOLVENDO EQUIPAMENTO /                  OPERACAO/SUPRIMENTOS - REPRODUCAO COR PRETA 000023140                         Impressora monocromática. Sendo 1 máquina conforme edital.";"2000,00000";"0,09000";"180,00000"
"144104063";"257035000012020NE800031";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"83";"SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS";"PRESTACAO DE SERVICO DE REPROGRAFIA ENVOLVENDO EQUIPAMENTO /                  OPERACAO/SUPRIMENTOS - REPRODUCAO COR PRETA 000023140                         Impressora monocromática. Sendo 1 máquina conforme edital.";"3000,00000";"0,09000";"270,00000"
"144104063";"257035000012020NE800031";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"83";"SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS";"PRESTACAO DE SERVICO DE REPROGRAFIA ENVOLVENDO EQUIPAMENTO /                  OPERACAO/SUPRIMENTOS - REPRODUCAO COR PRETA 000023140                         Impressora monocromática. Sendo 1 máquina conforme edital.";"5000,00000";"0,09000";"450,00000"
"144104063";"257035000012020NE800031";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"83";"SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS";"PRESTACAO DE SERVICO DE REPROGRAFIA ENVOLVENDO EQUIPAMENTO /                  OPERACAO/SUPRIMENTOS - REPRODUCAO COR PRETA 000023140                         Impressora monocromática. Sendo 1 máquina conforme edital.";"2000,00000";"0,09000";"180,00000"
"144104063";"257035000012020NE800031";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"83";"SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS";"PRESTACAO DE SERVICO DE REPROGRAFIA ENVOLVENDO EQUIPAMENTO /                  OPERACAO/SUPRIMENTOS - REPRODUCAO COR PRETA 000023140                         Impressora monocromática. Sendo 1 máquina conforme edital.";"1000,00000";"0,09000";"90,00000"
"144104063";"257035000012020NE800031";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"83";"SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS";"PRESTACAO DE SERVICO DE REPROGRAFIA ENVOLVENDO EQUIPAMENTO /                  OPERACAO/SUPRIMENTOS - REPRODUCAO COR PRETA 000023140                         Impressora monocromática. Sendo 3 máquinas conforme edital.";"30000,00000";"0,09000";"2700,00000"
